refseq_gene_id,chromosome_number,chromosome_scaffold,stand,start,end,gene_name,refseq_transcript_id,accession_number,newid,SASS_fdr.clone,SASS_fold.clone
100222623,4,NC_045002.1,+,38541749,38533216,MSMO1,XM_002199095.5,CK234128,SB010002000B08,1.233139006,0.040328245
100222437,1,NC_044998.1,+,58590457,58706374,LRCH1,XR_003960377.2,CK234177,SB010002000H02,0.811792279,0.049853657
100190116,2,NC_045000.1,+,66399382,66390628,PAK1IP1,NM_001245584.1,CK234204,SB010003000B10,1.447379299,0.026069847
100190149,4A,NC_045003.1,-,16692187,16708232,UPRT,NM_001245673.1,CK234336,SB010006000A04,1.289947588,0.038424123
100232599,3,NC_045001.1,+,93329298,93310127,PSEN2,XM_002197645.5,CK234597,SB010010000B05,0.687869223,0.017086276
100229104,1,NC_044998.1,+,66525258,66523116,RASL11A,XM_030274965.2,CK234644,SB010010000G09,1.581631398,0.016903354
100228960,11,NC_045010.1,+,16292702,16332623,GAN,XM_030282039.2,CK234975,SB010014000H06,0.704839934,0.027092385
100221549,Z,NC_045027.1,+,68776147,68411295,PTPRD,XM_032744066.1,CK234986,SB010015000A07,0.732713343,0.044705993
100190456,1A,NC_044999.1,+,61765463,61791169,SULT4A1,XR_003963505.2,CK235161,SB010018000C12,1.294905216,0.039027596
100226443,10,NC_045009.1,+,5110338,5218038,OTUD7A,XM_030281823.2,CK235355,SB010017000H06,0.742025093,0.039415857
100231550,13,NC_045012.1,+,4885770,5503812,TENM2,XM_030284002.2,CK235530,SB010020000F09,0.713410054,0.017631044
752001,2,NC_045000.1,+,150611695,150605465,ARC,XM_002186825.5,CK235641,SB010019000G06,1.684272258,0.03252928
100231030,19,NC_045017.1,+,3690724,3679823,NSRP1,XM_002195427.5,CK235732,SB010023000A04,1.250298721,0.040328245
100230685,4A,NC_045003.1,+,897945,959487,PCDH19,XM_030272399.2,CK235805,SB010023000H08,0.804682241,0.040535519
100220040,3,NC_045001.1,+,104395666,104378345,FOSL2,XM_030269194.2,CK235813,SB010024000A07.A,1.836198601,0.002464845
100218718,4,NC_045002.1,+,55746901,55737598,HNRNPD,XR_001122917.3,CK235857,SB010024000E07.A,0.714418852,0.045763099
100231563,29,NC_045955.1,+,139955,145733,NR4A1,XM_030259361.2,CK235948,SB010025000F05,1.641782347,0.013380644
100220639,10,NC_045009.1,+,16887132,16907847,SYNM,XM_030281153.2,CK301207,SB020002000A06,0.752167843,0.004950011
101233244,8,NC_045007.1,+,913755,930203,SRSF11,XM_030279502.2,CK301281,SB020002000G10,0.844534454,0.02447921
100223873,3,NC_045001.1,+,84289122,84273107,PNPT1,XM_032747628.1,CK301317,SB020001000C01,1.137721252,0.036677867
116806864,W,NC_045028.1,+,5549848,5571714,LOC116806864,XM_032744628.1,CK301352,SB020001000F02,1.153727157,0.035870132
100190590,15,NC_045014.1,+,4077374,4074569,PEBP1,NM_001245480.1,CK301376,SB020001000H04,1.451791735,0.038712346
100228058,3,NC_045001.1,+,65557140,65576728,OPN3,XM_030268211.2,CK301424,SB02012A1H11.f1,1.159077672,0.015821601
100228289,1,NC_044998.1,+,110276173,110743684,DSCAM,XM_030283877.2,CK301502,SB02012B1E05.f1,0.862062489,0.016179892
100224772,3,NC_045001.1,+,55340678,55332179,ACAT2,XM_002189416.3,CK301578,SB02012A2G08.f1,1.162759896,0.03926055
100232367,6,NC_045005.1,+,25109033,25118867,DUSP5,XM_002197720.5,CK301696,SB02013A1B08.f1,1.433028758,0.03404995
100231895,13,NC_045012.1,+,18388617,18407389,REEP2,XM_030283743.2,CK301724,SB02013A1E02.f1,0.839169231,0.022879246
100219355,3,NC_045001.1,+,74259923,74107270,QKI,XM_032747570.1,CK301866,SB02013A2D08.f1,0.706516697,0.041268346
100232268,2,NC_045000.1,+,4074926,4155544,CTDSPL,XM_030264202.2,CK301887,SB02013A2F10.f1,0.740745532,0.027087912
100225972,1A,NC_044999.1,-,59027948,58971106,C2CD5,XM_030263830.2,CK301946,SB02013B2B11.f1,0.778181075,0.048142815
100219601,1A,NC_044999.1,+,56991150,57074807,BRAF,XM_012569232.3,CK301955,SB02013B2C10.f1,0.665789465,0.036508265
100227598,15,NC_045014.1,+,10090632,10155427,HECTD4,XM_030285480.2,CK302037,SB02014B1C05.f1,0.733315326,0.026724233
100219843,Z,NC_045027.1,+,31364037,31426910,ECPAS,XM_030257666.2,CK302059,SB02014B1E08.f1,0.851065386,0.036508265
115497665,18,NC_045016.1,-,2427743,2426168,CENPX,XM_030287530.2,CK302218,SB02015A1D06.f1,0.790796502,0.048692968
100218706,10,NC_045009.1,+,9723131,9699174,MYEF2,XM_030281478.2,CK302251,SB02015A1G07.f1,0.833535496,0.047561417
115491205,Z,NC_045027.1,+,75961756,75971155,LOC115491205,XR_003957171.2,CK302260,SB02015A1H04.f1,0.733587758,0.040917308
100220040,3,NC_045001.1,+,104395666,104378345,FOSL2,XM_030269194.2,CK302322,SB02015A2B02.f1,2.689394481,0.002464845
115495652,Un,NULL,+,NULL,NULL,LOC115495652,XM_032745799.1,CK302385,SB02015B1G02.f1.A,0.647188507,0.017631044
751974,4,NC_045002.1,+,66318854,66042876,ANK2,XM_030272111.2,CK302442,SB02015A2H07.f1,0.778703957,0.03252928
100225359,1,NC_044998.1,+,60484219,60445587,INTS6,XM_030273168.2,CK302501,SB02015B2E07.f1,0.761387074,0.042954801
100218672,1A,NC_044999.1,-,47357667,47375441,DESI1,XM_002194764.5,CK302548,SB02016A1A10.f1,1.537523447,0.027440965
100229108,1A,NC_044999.1,+,51561275,51387799,BTBD11,XM_030263131.2,CK302645,SB02016B1B06.f1,0.752532397,0.022042591
115498480,25,NC_045023.1,-,1126803,1123477,LOC115498480,XR_003963811.2,CK302765,SB02016A2H06.f1,0.601270375,0.030667418
100190689,3,NC_045001.1,+,84238725,84251192,CFAP36,XM_012572218.3,CK302795,SB02016A2B07.f1,1.181928527,0.029837696
100230921,19,NC_045017.1,+,410909,384650,PAFAH1B1,XM_030287990.2,CK302803,SB02016B2A02.f1,0.862976508,0.027706102
100219945,15,NC_045014.1,+,12026300,11799746,NCOR2,XM_030285862.2,CK302893,SB02017A1A08.f1,0.822844509,0.017496654
100225951,4A,NC_045003.1,+,167352,151818,RBMX,XM_030272366.2,CK302922,SB02017A1D10.f1,0.652140571,0.011686894
100231965,Z,NC_045027.1,+,44246927,44239646,STOML2,XM_002190054.5,CK303030,SB02017B1D03.f1,1.224262604,0.025040013
