SB.spot,ACCESSION,refseq_gene_id,chromosome_number,chromosome_scaffold,stand,strat,end,gene_name,refseq_transcript_id
SB03039A2C05.f1,DV957606,751586,4,NC_045002.1,+,30720599,30770458,MTNR1A,NM_001048257.1
SB010016000F04,CK235105,751589,4,NC_045002.1,+,23247299,23252050,UCHL1,NM_001048259.1
SB010014000H02,CK234972,751771,10,NC_045009.1,+,6691849,6769021,ALDH1A2,NM_001076685.1
SB03031A1A11.f1,DV954945,751775,4,NC_045002.1,+,40936017,40847766,GRIA2,NM_001076689.3
SB02035B1G08.f1,CK312715,751775,4,NC_045002.1,+,40936017,40847766,GRIA2,NM_001076689.3
SB02033B1H11.f1,CK306281,751775,4,NC_045002.1,+,40936017,40847766,GRIA2,NM_001076689.3
SB03019B2H09.f1,DV951351,751777,10,NC_045009.1,+,8906973,8884536,CYP19A1,NM_001076691.2
SB03035B1H09.f1.A,DV956436,751779,17,NC_045015.1,+,837179,797436,GRIN1,NM_001076693.1
SB03035B1F04.f1,DV956407,751779,17,NC_045015.1,+,837179,797436,GRIN1,NM_001076693.1
SB03033B1F12.f1,DV955811,751779,17,NC_045015.1,+,837179,797436,GRIN1,NM_001076693.1
SB02027B1F02.f1,CK305118,751780,Z,NC_045027.1,+,62574819,62536033,SCAMP1,NM_001076694.1
SB02022B1G01.f1,CK304071,751780,Z,NC_045027.1,+,62574819,62536033,SCAMP1,NM_001076694.1
SB02020A1B08.f1,CK316890,751988,Z,NC_045027.1,+,48599706,48597128,RPL37,NM_001076699.1
SB02008A1B06.f1,CK311103,751989,Z,NC_045027.1,+,1709372,1714217,RPL17,NM_001076700.2
SB03026B1F05.f1,DV953620,100008579,13,NC_045012.1,+,18414596,18417546,EGR1,NM_001080957.1
SB03008A1H11.f1.C,DV947454,100008579,13,NC_045012.1,+,18414596,18417546,EGR1,NM_001080957.1
SB03008A1H11.f1.A,DV947454,100008579,13,NC_045012.1,+,18414596,18417546,EGR1,NM_001080957.1
SB02047B2F12.f1.C,CK308891,100008579,13,NC_045012.1,+,18414596,18417546,EGR1,NM_001080957.1
SB02047B2F12.f1.A,CK308891,100008579,13,NC_045012.1,+,18414596,18417546,EGR1,NM_001080957.1
SB03030B2C09.f1,DV954885,100008580,13,NC_045012.1,+,13931820,13929216,FNDC9,NM_001080958.2
SB010015000A05,CK234984,100008580,13,NC_045012.1,+,13931820,13929216,FNDC9,NM_001080958.2
SB010012000C02,CK234733,100038817,2,NC_045000.1,+,25068318,25062119,SEM1,NM_001085442.1
SB02031B2D09.f1,CK305965,100101449,17,NC_045015.1,+,1782783,1780732,TUBB4B,NM_001099690.2
SB02015A2A04.f1,CK302313,100134846,25,NC_045023.1,+,141789,140888,CKS1B,NM_001112807.1
SB02003A2B02.f2,CK303302,100135420,1,NC_044998.1,+,59798388,59749952,SPRYD7,NM_001113742.1
SB02046A1F05.f1,CK308292,100218445,5,NC_045004.1,-,15395034,15410992,IGF2,NM_001122966.1
SB03020A2B05.f1.A,DV951450,100151697,26,NC_045024.1,+,559521,530078,RAP1A,NM_001127378.1
SB03035B2E01.f1,DV956481,100187704,Z,NC_045027.1,+,24990897,24975524,REEP5,NM_001135160.1
SB02020A2H02.f1,CK317103,100190380,W,NC_045028.1,+,13211802,13208735,LOC100190380,NM_001135182.1
SB02010A2G04.f1,CK312004,100190380,W,NC_045028.1,+,13211802,13208735,LOC100190380,NM_001135182.1
SB02005B2F05.f1,CK310382,100190380,W,NC_045028.1,+,13211802,13208735,LOC100190380,NM_001135182.1
SB03024A2A08.f1,DV952833,100190680,3,NC_045001.1,+,109617750,109630698,RAB1A,NM_001135183.2
SB010012000B01.A,CK234724,100190680,3,NC_045001.1,+,109617750,109630698,RAB1A,NM_001135183.2
SB03027A1E03.f1,DV953760,100191006,4A,NC_045003.1,+,13146835,13115156,FMR1,NM_001136119.1
SB010018000B02,CK235143,100190660,12,NC_045011.1,+,13791147,13790150,GPX1,NM_001136569.1
SB03009B1H06.f1,DV947965,100224503,10,NC_045009.1,+,3481661,3469234,OAZ2,NM_001142785.2
SB02029A2B07.f1,CK305454,100223555,2,NC_045000.1,+,32509413,32507001,CYCS,NM_001143673.2
SB010009001D09,CK234854,100223555,2,NC_045000.1,+,32509413,32507001,CYCS,NM_001143673.2
SB03013A2E02.f1,DV949202,751976,Z,NC_045027.1,+,8414969,8411058,HINT1,NM_001145560.1
SB03005B2D09.f1,DV946616,100190075,14,NC_045013.1,+,14834052,14831465,JMJD8,NM_001159400.1
SB03004B2F06.f1,DV946298,100224462,1,NC_044998.1,+,65075127,65098585,HSPH1,NM_001159733.2
SB02037B1G01.f1,CK313416,100224462,1,NC_044998.1,+,65075127,65098585,HSPH1,NM_001159733.2
